,AHU: Supply Air Temperature,AHU: Supply Air Temperature Set Point,AHU: Outdoor Air Temperature,AHU: Mixed Air Temperature,AHU: Return Air Temperature,AHU: Supply Air Fan Speed Control Signal,AHU: Return Air Fan Speed Control Signal,AHU: Exhaust Air Damper Control Signal,AHU: Outdoor Air Damper Control Signal,AHU: Return Air Damper Control Signal,AHU: Cooling Coil Valve Control Signal,AHU: Heating Coil Valve Control Signal,AHU: Supply Air Duct Static Pressure Set Point,AHU: Supply Air Duct Static Pressure,Occupancy Mode Indicator,Fault Detection Ground Truth
35,62.53,55,61.36,71.04,71.37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
36,62.57,55,61.3,71.01,71.34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
37,62.59,55,61.22,70.98,71.31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
38,62.59,55,61.2,70.95,71.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
39,62.68,55,61.13,70.93,71.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
40,62.83,55,61.09,70.9,71.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
41,62.84,55,61.06,70.87,71.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
42,62.81,55,60.97,70.85,71.18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
43,62.81,55,60.93,70.82,71.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
44,62.9,55,60.85,70.79,71.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
45,62.91,55,60.76,70.77,71.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
46,62.88,55,60.67,70.74,71.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
47,62.93,55,60.63,70.72,71.06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
48,63.0,55,60.52,70.69,71.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
49,63.02,55,60.51,70.67,71.02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
50,63.07,55,60.48,70.64,70.99,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
51,63.1,55,60.41,70.62,70.97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
52,63.14,55,60.34,70.6,70.95,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
53,63.17,55,60.25,70.57,70.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
54,63.21,55,60.19,70.55,70.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
55,63.2,55,60.15,70.53,70.88,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
56,63.21,55,60.23,70.51,70.86,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
57,63.24,55,60.26,70.49,70.84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
58,63.33,55,60.34,70.47,70.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
59,63.38,55,60.44,70.46,70.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
60,63.43,55,60.62,70.44,70.78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
61,63.41,55,60.66,70.43,70.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
62,63.43,55,60.72,70.41,70.74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
63,63.5,55,60.83,70.4,70.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
64,63.53,55,60.84,70.38,70.71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
65,63.53,55,60.9,70.36,70.69,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
66,63.57,55,60.92,70.35,70.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
67,63.65,55,60.99,70.33,70.65,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
68,63.67,55,61.0,70.32,70.64,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
69,63.67,55,60.95,70.3,70.62,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
70,63.72,55,60.9,70.28,70.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
71,63.74,55,60.89,70.27,70.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
72,63.74,55,60.99,70.25,70.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
73,63.79,55,61.01,70.24,70.56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
74,63.86,55,61.1,70.23,70.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
75,63.89,55,61.13,70.22,70.53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
76,63.89,55,61.06,70.2,70.51,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
77,63.93,55,61.02,70.18,70.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
78,63.96,55,61.06,70.17,70.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
79,64.0,55,61.05,70.16,70.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
80,64.03,55,61.11,70.15,70.46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
81,64.08,55,61.19,70.14,70.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
82,64.1,55,61.21,70.13,70.43,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
83,64.1,55,61.25,70.12,70.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
84,64.1,55,61.22,70.11,70.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
85,64.15,55,61.29,70.1,70.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
86,64.13,55,61.37,70.09,70.39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
87,64.19,55,61.38,70.08,70.38,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
88,64.25,55,61.36,70.07,70.37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
89,64.29,55,61.36,70.06,70.36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
90,64.37,55,61.4,70.06,70.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
91,64.39,55,61.52,70.05,70.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
92,64.39,55,61.67,70.05,70.34,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
93,64.39,55,61.76,70.05,70.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
94,64.44,55,61.81,70.04,70.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
95,64.47,55,61.81,70.04,70.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
96,64.47,55,61.79,70.03,70.31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
97,64.47,55,61.73,70.02,70.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
98,64.47,55,61.56,70.01,70.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
99,64.51,55,61.41,70.0,70.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
100,64.58,55,61.24,69.98,70.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
101,64.65,55,61.1,69.97,70.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
102,64.68,55,61.04,69.97,70.27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
103,64.68,55,60.96,69.96,70.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
104,64.73,55,60.87,69.95,70.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
105,64.75,55,60.79,69.94,70.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
106,64.75,55,60.72,69.93,70.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
107,64.75,55,60.66,69.92,70.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
108,64.84,55,60.66,69.92,70.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
109,64.85,55,60.65,69.91,70.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
110,64.91,55,60.73,69.91,70.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
111,64.97,55,60.81,69.91,70.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
112,64.97,55,60.88,69.91,70.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
113,64.97,55,60.96,69.9,70.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
114,64.97,55,60.96,69.9,70.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
115,65.01,55,60.98,69.89,70.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
116,65.09,55,61.04,69.89,70.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
117,65.16,55,61.09,69.89,70.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
118,65.14,55,61.04,69.88,70.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
119,65.16,55,61.11,69.88,70.18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
120,65.19,55,61.13,69.88,70.18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
121,65.19,55,61.01,69.87,70.17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
122,65.23,55,60.96,69.87,70.17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
123,65.26,55,61.02,69.86,70.17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
124,65.3,55,61.09,69.86,70.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
125,65.33,55,61.06,69.86,70.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
126,65.33,55,61.02,69.85,70.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
127,65.33,55,61.02,69.85,70.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
128,65.33,55,60.97,69.85,70.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
129,65.38,55,60.82,69.84,70.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
130,65.4,55,60.67,69.83,70.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
131,65.49,55,60.58,69.82,70.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
132,65.55,55,60.44,69.82,70.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
133,65.55,55,60.34,69.81,70.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
134,65.55,55,60.27,69.8,70.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
135,65.59,55,60.26,69.8,70.13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
136,65.62,55,60.25,69.8,70.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
137,65.62,55,60.21,69.79,70.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
138,65.66,55,60.24,69.79,70.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
139,65.69,55,60.18,69.79,70.12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
140,65.74,55,60.18,69.79,70.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
141,65.76,55,60.22,69.78,70.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
142,65.76,55,60.27,69.78,70.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
143,65.81,55,60.34,69.78,70.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
144,65.84,55,60.39,69.78,70.11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
145,65.84,55,60.34,69.78,70.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
146,65.84,55,60.27,69.78,70.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
147,65.88,55,60.21,69.77,70.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
148,65.95,55,60.14,69.77,70.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
149,65.98,55,60.07,69.76,70.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
150,65.98,55,59.98,69.76,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
151,65.98,55,59.91,69.75,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
152,66.03,55,59.89,69.75,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
153,66.05,55,59.82,69.75,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
154,66.1,55,59.78,69.75,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
155,66.13,55,59.73,69.74,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
156,66.17,55,59.69,69.74,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
157,66.15,55,59.64,69.74,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
158,66.17,55,59.58,69.73,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
159,66.2,55,59.56,69.73,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
160,66.24,55,59.54,69.73,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
161,66.32,55,59.57,69.73,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
162,66.3,55,59.67,69.73,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
163,66.32,55,59.74,69.73,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
164,66.39,55,59.71,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
165,66.37,55,59.66,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
166,66.39,55,59.58,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
167,66.42,55,59.57,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
168,66.42,55,59.62,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
169,66.46,55,59.68,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
170,66.49,55,59.7,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
171,66.53,55,59.7,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
172,66.51,55,59.72,69.73,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
173,66.53,55,59.64,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
174,66.56,55,59.63,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
175,66.65,55,59.58,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
176,66.66,55,59.54,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
177,66.63,55,59.51,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
178,66.68,55,59.47,69.72,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
179,66.75,55,59.44,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
180,66.78,55,59.34,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
181,66.78,55,59.3,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
182,66.82,55,59.35,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
183,66.8,55,59.36,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
184,66.87,55,59.36,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
185,66.88,55,59.36,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
186,66.9,55,59.31,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
187,66.88,55,59.27,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
188,66.94,55,59.25,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
189,66.99,55,59.27,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
190,67.04,55,59.18,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
191,67.02,55,59.13,69.71,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
192,67.04,55,59.06,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
193,67.02,55,58.97,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
194,67.04,55,58.92,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
195,67.11,55,58.81,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
196,67.14,55,58.8,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
197,67.14,55,58.77,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
198,67.09,55,58.75,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
199,67.11,55,58.75,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
200,67.23,55,58.77,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
201,67.19,55,58.75,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
202,67.23,55,58.72,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
203,67.28,55,58.68,69.7,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
204,67.28,55,58.63,69.69,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
205,67.33,55,58.56,69.69,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
206,67.36,55,58.55,69.69,70.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
207,67.36,55,58.47,69.69,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
208,67.36,55,58.52,69.69,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
209,67.4,55,58.58,69.7,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
210,67.43,55,58.71,69.7,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
211,67.47,55,58.8,69.7,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
212,67.5,55,58.8,69.71,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
213,67.55,55,58.82,69.71,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
214,67.57,55,58.77,69.71,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
215,67.57,55,58.72,69.71,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
216,67.57,55,58.68,69.71,70.08,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
217,67.57,55,58.61,69.71,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
218,67.62,55,58.52,69.7,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
219,67.65,55,58.47,69.7,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
220,67.65,55,58.35,69.7,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
221,67.65,55,58.25,69.7,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
222,67.69,55,58.25,69.7,70.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,3.59,0,1
